event_id,user_id,session_id,page,event_type,product_id,product_price,device_type,country,event_time
e001,U1001,S5001,HOME,HOME_PAGE,P1001,99.99,MOBILE,INDIA,2026-06-01 10:00:00
e002,U1001,S5001,SEARCH,SEARCH,P1001,99.99,MOBILE,INDIA,2026-06-01 10:01:00
e003,U1001,S5001,PRODUCT,PRODUCT_VIEW,P1001,99.99,MOBILE,INDIA,2026-06-01 10:02:00
e004,U1001,S5001,CART,ADD_TO_CART,P1001,99.99,MOBILE,INDIA,2026-06-01 10:03:00
e005,U1001,S5001,CHECKOUT,CHECKOUT,P1001,99.99,MOBILE,INDIA,2026-06-01 10:04:00
e006,U1001,S5001,CHECKOUT,PURCHASE,P1001,99.99,MOBILE,INDIA,2026-06-01 10:05:00
e007,U1002,S5002,HOME,HOME_PAGE,P1004,149.99,DESKTOP,USA,2026-06-01 10:10:00
e008,U1002,S5002,PRODUCT,PRODUCT_VIEW,P1004,149.99,DESKTOP,USA,2026-06-01 10:11:00
e009,U1002,S5002,CART,ADD_TO_CART,P1004,149.99,DESKTOP,USA,2026-06-01 10:12:00
e010,U1002,S5002,CHECKOUT,PURCHASE,P1004,149.99,DESKTOP,USA,2026-06-01 10:13:00
